"Sgnyea","Prvcnm_id","Prvcnm_en","Pi0101"
"1979","210000","Liaoning",""
"1979","360000","Jiangxi",""
"1979","630000","Qinghai",""
"1979","310000","Shanghai","100.9000"
"1979","350000","Fujian","102.8000"
"1979","520000","Guizhou","102.6000"
"1979","620000","Gansu","101.1000"
"1979","420000","Hubei","102.6000"
"1979","230000","Heilongjiang","102.5000"
"1979","530000","Yunnan","101.1000"
"1979","640000","Ningxia","101.6000"
"1979","610000","Shaanxi","101.7000"
"1979","320000","Jiangsu","101.0000"
"1979","110000","Beijing","101.8000"
"1979","410000","Henan","100.4000"
"1979","120000","Tianjin","101.0000"
"1979","340000","Anhui",""
"1979","460000","Hainan","101.0000"
"1979","650000","Xinjiang","99.0000"
"1979","430000","Hunan","103.3000"
"1979","130000","Hebei",""
"1979","220000","Jilin","101.7000"
"1979","140000","Shanxi","100.6000"
"1979","510000","Sichuan",""
"1979","330000","Zhejiang",""
"1979","450000","Guangxi","102.6000"
"1980","450000","Guangxi","110.0000"
"1980","460000","Hainan","106.8000"
"1980","610000","Shaanxi","105.3000"
"1980","320000","Jiangsu","105.6000"
"1980","350000","Fujian","105.3000"
"1980","510000","Sichuan",""
"1980","520000","Guizhou","108.2000"
"1980","370000","Shandong","105.0000"
"1980","630000","Qinghai",""
"1980","140000","Shanxi","103.4000"
"1980","150000","Inner Mongolia",""
"1980","440000","Guangdong",""
"1980","120000","Tianjin","105.1000"
"1980","530000","Yunnan","104.7000"
"1980","210000","Liaoning",""
"1980","430000","Hunan","113.6000"
"1980","130000","Hebei",""
"1980","220000","Jilin","105.6000"
"1980","340000","Anhui","104.1000"
"1980","230000","Heilongjiang","107.3000"
"1980","620000","Gansu","104.2000"
"1980","310000","Shanghai","105.9000"
"1980","330000","Zhejiang",""
"1980","640000","Ningxia","108.1000"
"1980","650000","Xinjiang","102.8000"
"1980","110000","Beijing","106.0000"
"1980","360000","Jiangxi",""
"1980","410000","Henan","104.6000"
"1980","420000","Hubei","106.8000"
"1981","450000","Guangxi","101.6000"
"1981","140000","Shanxi","102.5000"
"1981","410000","Henan","101.4000"
"1981","420000","Hubei","102.1000"
"1981","630000","Qinghai",""
"1981","430000","Hunan","102.6000"
"1981","130000","Hebei",""
"1981","310000","Shanghai","101.4000"
"1981","460000","Hainan","106.5000"
"1981","650000","Xinjiang","101.6000"
"1981","220000","Jilin","101.6000"
"1981","150000","Inner Mongolia",""
"1981","330000","Zhejiang",""
"1981","640000","Ningxia","102.1000"
"1981","210000","Liaoning",""
"1981","360000","Jiangxi",""
"1981","440000","Guangdong",""
"1981","530000","Yunnan","101.2000"
"1981","620000","Gansu","101.7000"
"1981","230000","Heilongjiang","102.1000"
"1981","340000","Anhui",""
"1981","510000","Sichuan",""
"1981","610000","Shaanxi","103.6000"
"1981","370000","Shandong","101.8000"
"1981","320000","Jiangsu","101.5000"
"1981","120000","Tianjin","101.3000"
"1981","350000","Fujian","102.7000"
"1981","110000","Beijing","101.3000"
"1981","520000","Guizhou","102.3000"
"1982","610000","Shaanxi","101.4000"
